,line_original,line_index_in_song,line_classified,line_label,line_score,tsne_x,tsne_y
0,Now Dad this is a very sensitive subject,1, now dad this is a very sensitive subject,POSITIVE,0.9996,40.549717,79.52059
1,Just the two of us,2, just the two of us,POSITIVE,0.9991,122.5712,-46.290688
2,Just the two of us (just the two of us),3, just the two of us just the two of us,POSITIVE,0.9479,130.4565,-84.00996
3,Just the two of us (just the two of us),4, just the two of us just the two of us,POSITIVE,0.9479,115.20526,-91.772545
4,From the first time the doctor placed you in my arms,5, from the first time the doctor placed you in my arms,POSITIVE,0.9974,39.399372,-30.708906
5,I knew I'd meet death before I'd let you meet harm,6, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,-2.1295633,33.13485
6,"Although questions arose in my mind, would I be man enough",7, although questions arose in my mind would I be man enough,NEGATIVE,0.8954,-100.90255,20.14512
7,"Against wrong, choose right and be standing up?",8, against wrong choose right and be standing up,POSITIVE,0.9954,-39.597107,-67.82576
8,From the hospital that first night,9, from the hospital that first night,NEGATIVE,0.923,-91.5954,90.42345
9,Took a hour just ta get the car seat in right,10, took a hour just to get the car seat in right,NEGATIVE,0.9973,-82.89378,38.19417
10,"People driving all fast, got me kinda upset",11, people driving all fast got me kinda upset,NEGATIVE,0.9961,-66.24076,42.098576
11,"Got you home safe, placed you in your bassinet",12, got you home safe placed you in your bassinet,POSITIVE,0.9856,-74.8385,-37.240505
12,That night I don't think one wink I slept,13, that night I don't think one wink I slept,NEGATIVE,0.9901,-75.46129,4.5702806
13,"As I slipped out my bed, to your crib I crept",14, as I slipped out my bed to your crib I crept,NEGATIVE,0.9943,-97.44021,-2.5813255
14,"Touched your head gently, felt my heart melt",15, touched your head gently felt my heart melt,POSITIVE,0.9981,-87.549164,-17.240082
15,Cause I know I loved you more than life itself,16, because I know I loved you more than life itself,POSITIVE,0.9994,20.085518,30.24528
16,"Then to my knees, and I begged the Lord please",17, then to my knees and I begged the lord please,NEGATIVE,0.9783,-115.70052,-5.8672824
17,"Let me be a good daddy, all he needs",18, let me be a good daddy all he needs,POSITIVE,0.9993,-19.896564,5.474184
18,"Love, knowledge, discipline too",19, love knowledge discipline too,POSITIVE,0.9996,-21.587963,-51.141376
19,I pledge my life to you,20, I pledge my life to you,POSITIVE,0.9929,53.30379,38.563522
20,"Just the two of us, we can make it if we try",21, just the two of us we can make it if we try,POSITIVE,0.9997,86.39333,-12.947237
