,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,line_original,line_index_in_song,line_classified,line_label,line_score,song_name,artist_name,tsne_x_combined,tsne_y_combined
0,0,0,0,0,Now Dad this is a very sensitive subject,1, now dad this is a very sensitive subject,POSITIVE,0.9996,Just the Two of Us,Will Smith,-41.83625030517578,30.59026908874512
1,1,1,1,1,Just the two of us,2, just the two of us,POSITIVE,0.9991,Just the Two of Us,Will Smith,13.949930191040039,-114.09597778320312
2,2,2,2,2,Just the two of us (just the two of us),3, just the two of us just the two of us,POSITIVE,0.9479,Just the Two of Us,Will Smith,17.79669761657715,-126.26829528808594
3,3,3,3,3,Just the two of us (just the two of us),4, just the two of us just the two of us,POSITIVE,0.9479,Just the Two of Us,Will Smith,17.79669761657715,-126.26829528808594
4,4,4,4,4,From the first time the doctor placed you in my arms,5, from the first time the doctor placed you in my arms,POSITIVE,0.9974,Just the Two of Us,Will Smith,60.86593627929688,-50.49032974243164
5,5,5,5,5,I knew I'd meet death before I'd let you meet harm,6, I knew I'd meet death before I'd let you meet harm,NEGATIVE,0.9821,Just the Two of Us,Will Smith,39.67305374145508,0.5968062877655029
6,6,6,6,6,"Although questions arose in my mind, would I be man enough",7, although questions arose in my mind would I be man enough,NEGATIVE,0.8954,Just the Two of Us,Will Smith,-1.296464443206787,-9.51091766357422
7,7,7,7,7,"Against wrong, choose right and be standing up?",8, against wrong choose right and be standing up,POSITIVE,0.9954,Just the Two of Us,Will Smith,-3.5149383544921875,89.36856842041016
8,8,8,8,8,From the hospital that first night,9, from the hospital that first night,NEGATIVE,0.923,Just the Two of Us,Will Smith,59.60115432739258,-65.65137481689453
9,9,9,9,9,Took a hour just ta get the car seat in right,10, took a hour just to get the car seat in right,NEGATIVE,0.9973,Just the Two of Us,Will Smith,-29.982688903808594,7.9863929748535165
10,10,10,10,10,"People driving all fast, got me kinda upset",11, people driving all fast got me kinda upset,NEGATIVE,0.9961,Just the Two of Us,Will Smith,36.75359344482422,36.41880798339844
11,11,11,11,11,"Got you home safe, placed you in your bassinet",12, got you home safe placed you in your bassinet,POSITIVE,0.9856,Just the Two of Us,Will Smith,-16.734895706176758,78.61000061035156
12,12,12,12,12,That night I don't think one wink I slept,13, that night I don't think one wink I slept,NEGATIVE,0.9901,Just the Two of Us,Will Smith,-0.8643321990966797,46.27270889282226
13,13,13,13,13,"As I slipped out my bed, to your crib I crept",14, as I slipped out my bed to your crib I crept,NEGATIVE,0.9943,Just the Two of Us,Will Smith,-8.417690277099611,-38.954795837402344
14,14,14,14,14,"Touched your head gently, felt my heart melt",15, touched your head gently felt my heart melt,POSITIVE,0.9981,Just the Two of Us,Will Smith,-5.753886222839356,-25.84297180175781
15,15,15,15,15,Cause I know I loved you more than life itself,16, because I know I loved you more than life itself,POSITIVE,0.9994,Just the Two of Us,Will Smith,26.502857208251953,-22.393388748168945
16,16,16,16,16,"Then to my knees, and I begged the Lord please",17, then to my knees and I begged the lord please,NEGATIVE,0.9783,Just the Two of Us,Will Smith,-18.3057861328125,-46.48085403442383
17,17,17,17,17,"Let me be a good daddy, all he needs",18, let me be a good daddy all he needs,POSITIVE,0.9993,Just the Two of Us,Will Smith,13.48748779296875,20.07415580749512
18,18,18,18,18,"Love, knowledge, discipline too",19, love knowledge discipline too,POSITIVE,0.9996,Just the Two of Us,Will Smith,-35.9918212890625,88.95841979980469
19,19,19,19,19,I pledge my life to you,20, I pledge my life to you,POSITIVE,0.9929,Just the Two of Us,Will Smith,31.8584098815918,-35.21119689941406
20,20,20,20,20,"Just the two of us, we can make it if we try",21, just the two of us we can make it if we try,POSITIVE,0.9997,Just the Two of Us,Will Smith,-21.37131690979004,-108.76849365234376
21,21,21,21,21,"Just the two of us, (Just the two of us)",22, just the two of us just the two of us,POSITIVE,0.9479,Just the Two of Us,Will Smith,17.79669761657715,-126.26829528808594
22,22,22,22,22,"Just the two of us, building castles in the sky",23, just the two of us building castles in the sky,POSITIVE,0.9989,Just the Two of Us,Will Smith,5.628657817840576,-98.36890411376952
23,23,23,23,23,"Just the two of us, you and I",24, just the two of us you and I,POSITIVE,0.9997,Just the Two of Us,Will Smith,5.293983459472656,-122.88995361328124
24,24,24,24,24,"Five years old, bringin comedy",25, five years old bringin comedy,POSITIVE,0.9847,Just the Two of Us,Will Smith,-0.4718077480792999,69.72417449951172
25,25,25,25,25,"Everytime I look at you I think man, a little me",26, everytime I look at you I think man a little me,POSITIVE,0.9991,Just the Two of Us,Will Smith,-0.02057821303606033,29.36371421813965
26,26,26,26,26,"Just like me, wait an' see, gonna be tall",27, just like me wait and see gonna be tall,POSITIVE,0.999,Just the Two of Us,Will Smith,21.79110717773437,61.968910217285156
27,27,27,27,27,Makes me laugh cause you got your dads ears an all,28, makes me laugh because you got your dads ears an all,POSITIVE,0.9996,Just the Two of Us,Will Smith,26.64876365661621,46.78915405273438
28,28,28,28,28,"Sometimes I wonder, what you gonna be",29, sometimes I wonder what you gonna be,POSITIVE,0.9986,Just the Two of Us,Will Smith,54.645484924316406,42.879093170166016
29,29,29,29,29,"A general, a doctor, maybe a MC",30, a general a doctor maybe a mc,POSITIVE,0.8319,Just the Two of Us,Will Smith,-22.509979248046875,101.61244201660156
30,30,30,30,30,"Haha, I wanna kiss you all the time",31, haha I wanna kiss you all the time,POSITIVE,0.9984,Just the Two of Us,Will Smith,-12.83181095123291,32.18583297729492
31,31,31,31,31,"But I will test that butt when you cut outta line, true that",32, but I will test that butt when you cut outta line true that,POSITIVE,0.69,Just the Two of Us,Will Smith,13.15343952178955,51.07353973388672
32,32,32,32,32,Uh-uh-uh why you do that?,33, uh-uh-uh why you do that,NEGATIVE,0.9911,Just the Two of Us,Will Smith,69.73238372802734,71.31888580322266
