,line_original,line_index_in_song,line_classified,line_label,line_score,tsne_x,tsne_y
0,"Yo VIP, let's kick it",1, yo vip let's kick it,POSITIVE,0.9477,-8.610606,-62.94296
1,Ice ice baby,2, ice ice baby,POSITIVE,0.9922,73.75809,27.35749
2,Ice ice baby,3, ice ice baby,POSITIVE,0.9922,71.92451,38.43699
3,"Alright stop, collaborate and listen",4, alright stop collaborate and listen,POSITIVE,0.9092,-7.697422,-77.40781
4,Ice is back with a brand new invention,5, ice is back with a brand new invention,POSITIVE,0.9993,34.09046,1.9016382
5,Something grabs a hold of me tightly,6, something grabs a hold of me tightly,POSITIVE,0.9969,-40.645195,-15.170226
6,Flow like a harpoon daily and nightly,7, flow like a harpoon daily and nightly,POSITIVE,0.9984,-3.2658718,41.985428
7,"""Will it ever stop?"" Yo I don't know",8," ""will it ever stop?"" yo I don't know",NEGATIVE,0.9657,-39.347095,-43.5511
8,Turn off the lights and I'll glow,9, turn off the lights and I'll glow,POSITIVE,0.9996,1.4317098,27.385748
9,"To the extreme, I rock a mic like a vandal",10, to the extreme I rock a mic like a vandal,NEGATIVE,0.9947,-36.02478,14.014806
10,Light up a stage and wax a chump like a candle,11, light up a stage and wax a chump like a candle,NEGATIVE,0.5317,11.615475,20.040367
11,"Dance, rush the speaker that booms",12, dance rush the speaker that booms,POSITIVE,0.9995,-20.593424,20.410904
12,I'm killing your brain like a poisonous mushroom,13, I'm killing your brain like a poisonous mushroom,NEGATIVE,0.9995,-64.82373,-22.639029
13,Deadly when I play a dope melody,14, deadly when I play a dope melody,NEGATIVE,0.9987,-32.182404,11.985691
14,Anything less than the best is a felony,15, anything less than the best is a felony,NEGATIVE,0.9914,-47.81645,24.227535
15,"Love it or leave it, you better gangway",16, love it or leave it you better gangway,POSITIVE,0.9997,-14.851415,-43.0909
16,"You better hit the bullseye, the kid don't play",17, you better hit the bullseye the kid don't play,NEGATIVE,0.9942,-14.539802,-32.093544
17,"And if there was a problem, yo, I'll solve it",18, and if there was a problem yo I'll solve it,NEGATIVE,0.9978,-41.66215,-55.748917
18,Check out the hook while my DJ revolves it,19, check out the hook while my dj revolves it,POSITIVE,0.9857,-8.683824,10.172572
19,Ice ice baby Vanilla,20, ice ice baby vanilla,POSITIVE,0.9796,90.1947,49.57714
