,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,line_original,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,tsne_x,tsne_y
0,We,We,we,1,1,1,Intro,1,1,10,8,8,"[1, 4, 14, 136, 246, 313, 347, 385, 390, 392]","[('we', 'PRP')]",PRON,POSITIVE,0.9982,We at war, we at war,NEGATIVE,0.9847,-0.9847,20,0.4444444444444444,0.9982,148,0.9079754601226994,-18.077541,26.499859
1,at,at,at,2,1,1,Intro,1,2,3,3,3,"[2, 5, 15]","[('at', 'IN')]",PREP,POSITIVE,0.9062,We at war, we at war,NEGATIVE,0.9847,-0.9847,20,0.4444444444444444,0.9062,59,0.3619631901840491,-9.830935,-17.812874
2,war,war,war,3,1,1,Intro,1,3,3,3,3,"[3, 6, 16]","[('war', 'NN')]",N,NEGATIVE,0.9995,We at war, we at war,NEGATIVE,0.9847,-0.9847,20,0.4444444444444444,-0.9995,3,0.018404907975460124,9.538008,3.6358488
3,We,We,we,4,2,1,Intro,2,4,10,8,8,"[1, 4, 14, 136, 246, 313, 347, 385, 390, 392]","[('we', 'PRP')]",PRON,POSITIVE,0.9982,"We at war with terrorism, racism", we at war with terrorism racism,NEGATIVE,0.9887,-0.9887,18,0.4,0.9982,148,0.9079754601226994,-17.130524,25.317919
4,at,at,at,5,2,1,Intro,2,5,3,3,3,"[2, 5, 15]","[('at', 'IN')]",PREP,POSITIVE,0.9062,"We at war with terrorism, racism", we at war with terrorism racism,NEGATIVE,0.9887,-0.9887,18,0.4,0.9062,59,0.3619631901840491,-9.830935,-17.812874
5,war,war,war,6,2,1,Intro,2,6,3,3,3,"[3, 6, 16]","[('war', 'NN')]",N,NEGATIVE,0.9995,"We at war with terrorism, racism", we at war with terrorism racism,NEGATIVE,0.9887,-0.9887,18,0.4,-0.9995,3,0.018404907975460124,9.538013,3.635849
6,with,with,with,7,2,1,Intro,2,7,9,2,2,"[7, 17, 35, 201, 235, 268, 302, 325, 526]","[('with', 'IN')]",PREP,POSITIVE,0.9826,"We at war with terrorism, racism", we at war with terrorism racism,NEGATIVE,0.9887,-0.9887,18,0.4,0.9826,102,0.6257668711656442,-14.241958,-19.25525
7,"terrorism,",terrorism,terrorism,8,2,1,Intro,2,8,1,1,1,[8],"[('terrorism', 'NN')]",N,NEGATIVE,0.9985,"We at war with terrorism, racism", we at war with terrorism racism,NEGATIVE,0.9887,-0.9887,18,0.4,-0.9985,9,0.05521472392638037,9.575447,0.8872959
8,racism,racism,racism,9,2,1,Intro,2,9,1,1,1,[9],"[('racism', 'NN')]",N,NEGATIVE,0.9996,"We at war with terrorism, racism", we at war with terrorism racism,NEGATIVE,0.9887,-0.9887,18,0.4,-0.9996,2,0.012269938650306749,9.844323,0.76186556
9,But,But,but,10,3,1,Intro,3,10,6,4,4,"[10, 140, 172, 242, 309, 457]","[('but', 'CC')]",CONJ,NEGATIVE,0.9101,But most of all we at war with ourselves, but most of all we at war with ourselves,NEGATIVE,0.8996,-0.8996,32,0.7111111111111111,-0.9101,32,0.19631901840490798,19.249624,-10.684832
10,most,most,most,11,3,1,Intro,3,11,1,1,1,[11],"[('most', 'JJS')]",ADJ,POSITIVE,0.9886,But most of all we at war with ourselves, but most of all we at war with ourselves,NEGATIVE,0.8996,-0.8996,32,0.7111111111111111,0.9886,109,0.6687116564417178,11.602697,-6.8954782
11,of,of,of,12,3,1,Intro,3,12,6,6,6,"[12, 74, 121, 131, 148, 344]","[('of', 'IN')]",PREP,POSITIVE,0.9193,But most of all we at war with ourselves, but most of all we at war with ourselves,NEGATIVE,0.8996,-0.8996,32,0.7111111111111111,0.9193,63,0.38650306748466257,-11.175103,-22.566479
12,all,all,all,13,3,1,Intro,3,13,1,1,1,[13],"[('all', 'DT')]",DET,POSITIVE,0.9903,But most of all we at war with ourselves, but most of all we at war with ourselves,NEGATIVE,0.8996,-0.8996,32,0.7111111111111111,0.9903,114,0.6993865030674846,13.827587,-6.939199
13,we,we,we,14,3,1,Intro,3,14,10,8,8,"[1, 4, 14, 136, 246, 313, 347, 385, 390, 392]","[('we', 'PRP')]",PRON,POSITIVE,0.9982,But most of all we at war with ourselves, but most of all we at war with ourselves,NEGATIVE,0.8996,-0.8996,32,0.7111111111111111,0.9982,148,0.9079754601226994,-17.626379,26.752596
14,at,at,at,15,3,1,Intro,3,15,3,3,3,"[2, 5, 15]","[('at', 'IN')]",PREP,POSITIVE,0.9062,But most of all we at war with ourselves, but most of all we at war with ourselves,NEGATIVE,0.8996,-0.8996,32,0.7111111111111111,0.9062,59,0.3619631901840491,-9.830935,-17.812874
15,war,war,war,16,3,1,Intro,3,16,3,3,3,"[3, 6, 16]","[('war', 'NN')]",N,NEGATIVE,0.9995,But most of all we at war with ourselves, but most of all we at war with ourselves,NEGATIVE,0.8996,-0.8996,32,0.7111111111111111,-0.9995,3,0.018404907975460124,9.537717,3.6357265
16,with,with,with,17,3,1,Intro,3,17,9,2,2,"[7, 17, 35, 201, 235, 268, 302, 325, 526]","[('with', 'IN')]",PREP,POSITIVE,0.9826,But most of all we at war with ourselves, but most of all we at war with ourselves,NEGATIVE,0.8996,-0.8996,32,0.7111111111111111,0.9826,102,0.6257668711656442,-14.21435,-18.717955
17,ourselves,ourselves,ourselves,18,3,1,Intro,3,18,1,1,1,[18],"[('ourselves', 'NNS')]",N,POSITIVE,0.9908,But most of all we at war with ourselves, but most of all we at war with ourselves,NEGATIVE,0.8996,-0.8996,32,0.7111111111111111,0.9908,117,0.7177914110429447,-6.852018,24.02473
18,(Jesus,Jesus,jesus,19,4,2,Chorus,1,1,18,6,5,"[19, 33, 160, 185, 199, 217, 233, 252, 266, 284, 300, 323, 337, 354, 431, 450, 510, 524]","[('jesus', 'NN')]",N,POSITIVE,0.9656,(Jesus walk), jesus walk,POSITIVE,0.9099,0.9099,36,0.8,0.9656,86,0.5276073619631901,17.610607,14.7078285
19,walk),walk,walk,20,4,2,Chorus,1,2,14,1,1,"[20, 34, 70, 186, 200, 218, 234, 253, 267, 285, 301, 324, 511, 525]","[('walk', 'NN')]",N,POSITIVE,0.9979,(Jesus walk), jesus walk,POSITIVE,0.9099,0.9099,36,0.8,0.9979,145,0.8895705521472392,-14.405687,8.621714
20,God,God,god,21,5,2,Chorus,2,3,7,1,1,"[21, 187, 241, 254, 308, 462, 512]","[('god', 'NN')]",N,POSITIVE,0.9449,God show me the way because the Devil's tryna break me down, god show me the way because the devil's tryna break me down,NEGATIVE,0.9939,-0.9939,9,0.2,0.9449,72,0.44171779141104295,18.271444,18.152145
21,show,show,show,22,5,2,Chorus,2,4,4,0,0,"[22, 188, 255, 513]","[('show', 'NN')]",N,POSITIVE,0.9941,God show me the way because the Devil's tryna break me down, god show me the way because the devil's tryna break me down,NEGATIVE,0.9939,-0.9939,9,0.2,0.9941,128,0.7852760736196319,-5.5018682,-2.321874
22,me,me,me,23,5,2,Chorus,2,5,19,1,1,"[23, 31, 36, 189, 197, 202, 215, 236, 256, 264, 269, 282, 303, 326, 373, 514, 522, 527, 540]","[('me', 'PRP')]",PRON,POSITIVE,0.9947,God show me the way because the Devil's tryna break me down, god show me the way because the devil's tryna break me down,NEGATIVE,0.9939,-0.9939,9,0.2,0.9947,130,0.7975460122699386,-0.75159574,23.6476
23,the,the,the,24,5,2,Chorus,2,6,26,15,15,"[24, 27, 40, 72, 75, 82, 106, 134, 190, 193, 203, 257, 260, 270, 328, 335, 342, 381, 415, 420, 427, 495, 505, 515, 518, 528]","[('the', 'DT')]",DET,POSITIVE,0.9636,God show me the way because the Devil's tryna break me down, god show me the way because the devil's tryna break me down,NEGATIVE,0.9939,-0.9939,9,0.2,0.9636,82,0.5030674846625767,-7.74928,-14.573046
24,way,way,way,25,5,2,Chorus,2,7,7,3,3,"[25, 191, 258, 416, 421, 428, 516]","[('way', 'NN')]",N,POSITIVE,0.9973,God show me the way because the Devil's tryna break me down, god show me the way because the devil's tryna break me down,NEGATIVE,0.9939,-0.9939,9,0.2,0.9973,142,0.8711656441717791,-10.355893,18.77545
25,because,because,because,26,5,2,Chorus,2,8,4,0,0,"[26, 192, 259, 517]","[('because', 'IN')]",PREP,NEGATIVE,0.8893,God show me the way because the Devil's tryna break me down, god show me the way because the devil's tryna break me down,NEGATIVE,0.9939,-0.9939,9,0.2,-0.8893,34,0.2085889570552147,18.69122,-6.9090314
26,the,the,the,27,5,2,Chorus,2,9,26,15,15,"[24, 27, 40, 72, 75, 82, 106, 134, 190, 193, 203, 257, 260, 270, 328, 335, 342, 381, 415, 420, 427, 495, 505, 515, 518, 528]","[('the', 'DT')]",DET,POSITIVE,0.9636,God show me the way because the Devil's tryna break me down, god show me the way because the devil's tryna break me down,NEGATIVE,0.9939,-0.9939,9,0.2,0.9636,82,0.5030674846625767,-7.269614,-12.7455
27,Devil's,Devil's,devil's,28,5,2,Chorus,2,10,4,0,0,"[28, 194, 261, 519]","[('devil', 'NN'), (""'s"", 'POS')]",MULT,NEGATIVE,0.9823,God show me the way because the Devil's tryna break me down, god show me the way because the devil's tryna break me down,NEGATIVE,0.9939,-0.9939,9,0.2,-0.9823,22,0.13496932515337423,21.293036,-0.12019589
28,tryna,tryna,tryna,29,5,2,Chorus,2,11,5,1,1,"[29, 195, 262, 413, 520]","[('tryna', 'NN')]",N,POSITIVE,0.9314,God show me the way because the Devil's tryna break me down, god show me the way because the devil's tryna break me down,NEGATIVE,0.9939,-0.9939,9,0.2,0.9314,67,0.4110429447852761,20.608194,6.725098
29,break,break,break,30,5,2,Chorus,2,12,4,0,0,"[30, 196, 263, 521]","[('break', 'NN')]",N,NEGATIVE,0.9982,God show me the way because the Devil's tryna break me down, god show me the way because the devil's tryna break me down,NEGATIVE,0.9939,-0.9939,9,0.2,-0.9982,12,0.0736196319018405,-3.5740433,1.8871996
30,me,me,me,31,5,2,Chorus,2,13,19,1,1,"[23, 31, 36, 189, 197, 202, 215, 236, 256, 264, 269, 282, 303, 326, 373, 514, 522, 527, 540]","[('me', 'PRP')]",PRON,POSITIVE,0.9947,God show me the way because the Devil's tryna break me down, god show me the way because the devil's tryna break me down,NEGATIVE,0.9939,-0.9939,9,0.2,0.9947,130,0.7975460122699386,-2.6467218,24.056376
