,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,line_original,line_index_in_song,line_classified,line_label,line_score,song_name,artist_name,tsne_x_combined,tsne_y_combined
0,0,0,0,0,0,0,0,0,0,0,"Yo VIP, let's kick it",1, yo vip let's kick it,POSITIVE,0.9477,Ice Ice Baby,Vanilla Ice,-21.0452823638916,13.930685043334961
1,1,1,1,1,1,1,1,1,1,1,Ice ice baby,2, ice ice baby,POSITIVE,0.9922,Ice Ice Baby,Vanilla Ice,-36.12673568725586,-48.18360900878906
2,2,2,2,2,2,2,2,2,2,2,Ice ice baby,3, ice ice baby,POSITIVE,0.9922,Ice Ice Baby,Vanilla Ice,-36.12673568725586,-48.18360900878906
3,3,3,3,3,3,3,3,3,3,3,"Alright stop, collaborate and listen",4, alright stop collaborate and listen,POSITIVE,0.9092,Ice Ice Baby,Vanilla Ice,-16.924654006958008,19.068979263305664
4,4,4,4,4,4,4,4,4,4,4,Ice is back with a brand new invention,5, ice is back with a brand new invention,POSITIVE,0.9993,Ice Ice Baby,Vanilla Ice,26.560199737548828,-4.628077507019043
5,5,5,5,5,5,5,5,5,5,5,Something grabs a hold of me tightly,6, something grabs a hold of me tightly,POSITIVE,0.9969,Ice Ice Baby,Vanilla Ice,33.27998733520508,-0.4812003374099731
6,6,6,6,6,6,6,6,6,6,6,Flow like a harpoon daily and nightly,7, flow like a harpoon daily and nightly,POSITIVE,0.9984,Ice Ice Baby,Vanilla Ice,3.7188234329223633,32.980392456054695
7,7,7,7,7,7,7,7,7,7,7,"""Will it ever stop?"" Yo I don't know",8, will it ever stop yo I don't know,NEGATIVE,0.9642,Ice Ice Baby,Vanilla Ice,-0.2736106812953949,-31.46767616271973
8,8,8,8,8,8,8,8,8,8,8,Turn off the lights and I'll glow,9, turn off the lights and I'll glow,POSITIVE,0.9996,Ice Ice Baby,Vanilla Ice,6.57913875579834,24.3048152923584
9,9,9,9,9,9,9,9,9,9,9,"To the extreme, I rock a mic like a vandal",10, to the extreme I rock a mic like a vandal,NEGATIVE,0.9947,Ice Ice Baby,Vanilla Ice,8.032180786132812,15.912458419799805
10,10,10,10,10,10,10,10,10,10,10,Light up a stage and wax a chump like a candle,11, light up a stage and wax a chump like a candle,NEGATIVE,0.5317,Ice Ice Baby,Vanilla Ice,14.91202163696289,26.39631271362305
11,11,11,11,11,11,11,11,11,11,11,"Dance, rush the speaker that booms",12, dance rush the speaker that booms,POSITIVE,0.9995,Ice Ice Baby,Vanilla Ice,19.413589477539066,11.291498184204102
12,12,12,12,12,12,12,12,12,12,12,I'm killing your brain like a poisonous mushroom,13, I'm killing your brain like a poisonous mushroom,NEGATIVE,0.9995,Ice Ice Baby,Vanilla Ice,41.41279220581055,-1.8668354749679563
13,13,13,13,13,13,13,13,13,13,13,Deadly when I play a dope melody,14, deadly when I play a dope melody,NEGATIVE,0.9987,Ice Ice Baby,Vanilla Ice,9.746307373046877,14.423979759216307
14,14,14,14,14,14,14,14,14,14,14,Anything less than the best is a felony,15, anything less than the best is a felony,NEGATIVE,0.9914,Ice Ice Baby,Vanilla Ice,0.5075662732124329,16.222286224365234
15,15,15,15,15,15,15,15,15,15,15,"Love it or leave it, you better gangway",16, love it or leave it you better gangway,POSITIVE,0.9997,Ice Ice Baby,Vanilla Ice,-14.660021781921387,7.349670886993407
16,16,16,16,16,16,16,16,16,16,16,"You better hit the bullseye, the kid don't play",17, you better hit the bullseye the kid don't play,NEGATIVE,0.9942,Ice Ice Baby,Vanilla Ice,-9.276708602905273,7.445049285888673
17,17,17,17,17,17,17,17,17,17,17,"And if there was a problem, yo, I'll solve it",18, and if there was a problem yo I'll solve it,NEGATIVE,0.9978,Ice Ice Baby,Vanilla Ice,-23.35287094116211,4.102737903594972
18,18,18,18,18,18,18,18,18,18,18,Check out the hook while my DJ revolves it,19, check out the hook while my dj revolves it,POSITIVE,0.9857,Ice Ice Baby,Vanilla Ice,13.553832054138185,20.050630569458008
19,19,19,19,19,19,19,19,19,19,19,Ice ice baby Vanilla,20, ice ice baby vanilla,POSITIVE,0.9796,Ice Ice Baby,Vanilla Ice,-35.61491394042969,-43.81915664672852
20,20,20,20,20,20,20,20,20,20,20,Ice ice baby Vanilla,21, ice ice baby vanilla,POSITIVE,0.9796,Ice Ice Baby,Vanilla Ice,-35.61491394042969,-43.81915664672852
21,21,21,21,21,21,21,21,21,21,21,Ice ice baby Vanilla,22, ice ice baby vanilla,POSITIVE,0.9796,Ice Ice Baby,Vanilla Ice,-35.61491394042969,-43.81915664672852
22,22,22,22,22,22,22,22,22,22,22,Ice ice baby Vanilla,23, ice ice baby vanilla,POSITIVE,0.9796,Ice Ice Baby,Vanilla Ice,-35.61491394042969,-43.81915664672852
23,23,23,23,23,23,23,23,23,23,23,Now that the party is jumping,24, now that the party is jumping,POSITIVE,0.9682,Ice Ice Baby,Vanilla Ice,22.44573211669922,0.1624464988708496
24,24,24,24,24,24,24,24,24,24,24,With the bass kicked in and the Vegas are pumping,25, with the bass kicked in and the vegas are pumping,POSITIVE,0.9979,Ice Ice Baby,Vanilla Ice,18.40911865234375,3.739875078201294
25,25,25,25,25,25,25,25,25,25,25,Quick to the point to the point no faking,26, quick to the point to the point no faking,NEGATIVE,0.999,Ice Ice Baby,Vanilla Ice,12.204730033874512,-43.2120361328125
26,26,26,26,26,26,26,26,26,26,26,Cooking MCs like a pound of bacon,27, cooking mcs like a pound of bacon,NEGATIVE,0.897,Ice Ice Baby,Vanilla Ice,14.681872367858887,31.87824630737305
27,27,27,27,27,27,27,27,27,27,27,Burnin' them if you're not quick and nimble,28, burning them if you're not quick and nimble,NEGATIVE,0.9912,Ice Ice Baby,Vanilla Ice,-1.0478582382202148,24.41092109680176
28,28,28,28,28,28,28,28,28,28,28,I go crazy when I hear a cymbal,29, I go crazy when I hear a cymbal,NEGATIVE,0.7135,Ice Ice Baby,Vanilla Ice,33.412368774414055,11.455877304077148
29,29,29,29,29,29,29,29,29,29,29,And a hi-hat with a souped up tempo,30, and a hi-hat with a souped up tempo,NEGATIVE,0.6457,Ice Ice Baby,Vanilla Ice,20.548553466796875,35.49705123901367
30,30,30,30,30,30,30,30,30,30,30,"I'm on a roll, it's time to go solo",31, I'm on a roll it's time to go solo,POSITIVE,0.9979,Ice Ice Baby,Vanilla Ice,9.10452938079834,-13.322405815124512
31,31,31,31,31,31,31,31,31,31,31,Rollin',32, rolling,NEGATIVE,0.9076,Ice Ice Baby,Vanilla Ice,-38.38277053833008,-29.50473213195801
