,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,word_original,word_no_punctuation,word_can_search,word_index_in_song,line_index_in_song,stanza_index_in_song,stanza_description,line_index_in_stanza,word_index_in_line,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_pos_tags,broad_pos_tag,hugface_label,hugface_score,line_original,line_classified,line_label,line_score,line_positivity,line_positivity_rank,line_positivity_norm,word_positivity,word_positivity_rank,word_positivity_norm,positivity_bar_chart,song_name,artist_name,tsne_x_combined,tsne_y_combined
0,0,0,0,0,0,0,0,0,0,0,Yo,Yo,yo,1,1,1,Intro,1,1,7,7,7,"[1, 43, 127, 273, 391, 545, 575]","[('yo', 'NN')]",N,POSITIVE,0.9966,"Yo VIP, let's kick it", yo vip let's kick it,POSITIVE,0.9477,0.9477,46,0.7076923076923077,0.9966,154,0.8324324324324325,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-10.781905174255373,-11.759445190429688
1,1,1,1,1,1,1,1,1,1,1,"VIP,",VIP,vip,2,1,1,Intro,1,2,1,1,1,[2],"[('vip', 'NN')]",N,POSITIVE,0.9991,"Yo VIP, let's kick it", yo vip let's kick it,POSITIVE,0.9477,0.9477,46,0.7076923076923077,0.9991,177,0.9567567567567568,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-5.0928568840026855,15.38101577758789
2,2,2,2,2,2,2,2,2,2,2,let's,let's,let's,3,1,1,Intro,1,3,2,2,2,"[3, 577]","[('let', 'NN'), (""'s"", 'POS')]",MULT,POSITIVE,0.9118,"Yo VIP, let's kick it", yo vip let's kick it,POSITIVE,0.9477,0.9477,46,0.7076923076923077,0.9118,71,0.3837837837837838,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,17.779376983642578,-21.369165420532227
3,3,3,3,3,3,3,3,3,3,3,kick,kick,kick,4,1,1,Intro,1,4,3,3,3,"[4, 450, 537]","[('kick', 'NN')]",N,POSITIVE,0.978,"Yo VIP, let's kick it", yo vip let's kick it,POSITIVE,0.9477,0.9477,46,0.7076923076923077,0.978,93,0.5027027027027027,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-7.717555046081543,2.417651891708374
4,4,4,4,4,4,4,4,4,4,4,it,it,it,5,1,1,Intro,1,5,13,13,13,"[5, 40, 105, 108, 130, 139, 394, 403, 437, 482, 518, 548, 557]","[('it', 'PRP')]",PRON,POSITIVE,0.9927,"Yo VIP, let's kick it", yo vip let's kick it,POSITIVE,0.9477,0.9477,46,0.7076923076923077,0.9927,130,0.7027027027027027,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,9.89292812347412,-5.348041534423828
5,5,5,5,5,5,5,5,5,5,5,Ice,Ice,ice,6,2,2,Hook,1,1,42,42,42,"[6, 7, 9, 10, 17, 140, 141, 144, 145, 148, 149, 152, 153, 404, 405, 408, 409, 412, 413, 416, 417, 558, 559, 562, 563, 566, 567, 570, 571, 586, 587, 591, 592, 596, 597, 601, 602, 608, 609, 615, 616, 622]","[('ice', 'NN')]",N,POSITIVE,0.9661,Ice ice baby, ice ice baby,POSITIVE,0.9922,0.9922,51,0.7846153846153846,0.9661,87,0.4702702702702703,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-4.488225936889648,10.734026908874512
6,6,6,6,6,6,6,6,6,6,6,ice,ice,ice,7,2,2,Hook,1,2,42,42,42,"[6, 7, 9, 10, 17, 140, 141, 144, 145, 148, 149, 152, 153, 404, 405, 408, 409, 412, 413, 416, 417, 558, 559, 562, 563, 566, 567, 570, 571, 586, 587, 591, 592, 596, 597, 601, 602, 608, 609, 615, 616, 622]","[('ice', 'NN')]",N,POSITIVE,0.9661,Ice ice baby, ice ice baby,POSITIVE,0.9922,0.9922,51,0.7846153846153846,0.9661,87,0.4702702702702703,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-4.488225936889648,10.734026908874512
7,7,7,7,7,7,7,7,7,7,7,baby,baby,baby,8,2,2,Hook,1,3,20,20,20,"[8, 11, 142, 146, 150, 154, 406, 410, 414, 418, 560, 564, 568, 572, 588, 593, 598, 603, 610, 617]","[('baby', 'NN')]",N,POSITIVE,0.9969,Ice ice baby, ice ice baby,POSITIVE,0.9922,0.9922,51,0.7846153846153846,0.9969,156,0.8432432432432433,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-7.714382171630857,-7.060944557189941
8,8,8,8,8,8,8,8,8,8,8,Ice,Ice,ice,9,3,2,Hook,2,4,42,42,42,"[6, 7, 9, 10, 17, 140, 141, 144, 145, 148, 149, 152, 153, 404, 405, 408, 409, 412, 413, 416, 417, 558, 559, 562, 563, 566, 567, 570, 571, 586, 587, 591, 592, 596, 597, 601, 602, 608, 609, 615, 616, 622]","[('ice', 'NN')]",N,POSITIVE,0.9661,Ice ice baby, ice ice baby,POSITIVE,0.9922,0.9922,51,0.7846153846153846,0.9661,87,0.4702702702702703,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-4.488225936889648,10.734026908874512
9,9,9,9,9,9,9,9,9,9,9,ice,ice,ice,10,3,2,Hook,2,5,42,42,42,"[6, 7, 9, 10, 17, 140, 141, 144, 145, 148, 149, 152, 153, 404, 405, 408, 409, 412, 413, 416, 417, 558, 559, 562, 563, 566, 567, 570, 571, 586, 587, 591, 592, 596, 597, 601, 602, 608, 609, 615, 616, 622]","[('ice', 'NN')]",N,POSITIVE,0.9661,Ice ice baby, ice ice baby,POSITIVE,0.9922,0.9922,51,0.7846153846153846,0.9661,87,0.4702702702702703,pos_word_pos_line,Ice Ice Baby,Vanilla Ice,-4.488225936889648,10.734026908874512
